recipeId,ingredientId,name,amount,unit
248189,14412,water,4.0,cups
56649,9087,dates,1.0,Tbs
56649,19296,honey,0.5,Tbs
56649,8121,oatmeal,1.0,serving
793786,9431,fresh fruit,1.0,serving
793786,8121,oatmeal,1.0,serving
793786,1119,vanilla yogurt,1.0,serving
521703,93603,bee pollen,1.0,tbsp
521703,12220,ground flax seeds,1.0,tbsp
521703,8121,oatmeal,0.5,cup
521703,14412,water,1.0,cup
228587,1009054,berries,6.0,servings
228587,1256,greek yogurt,6.25,cup
228587,8121,oatmeal,6.0,
125298,9040,banana,0.5,medium
125298,1032050,coconut extract,0.5,teaspoon
125298,8121,oatmeal,0.5,cup
125298,14412,water,1.0,cup
616685,19125,chocolate hazelnut spread,1.0,tbsp
616685,8121,cooked rolled oats,1.0,serving
616685,12135,nuts,1.0,serving
96937,10862,cooked bacon,4.0,tablespoons
96937,11233,kale,1.0,quart
96937,8121,oatmeal,0.25,cup
96937,2047,salt,0.5,teaspoon
128910,9079,dried cranberries,1.0,teaspoon
128910,8640,instant oatmeal,28.0,g
128910,1019016,juice,0.5,cup
70524,10118192,cookie,60.0,servings
70524,8121,oatmeal,2.0,cups
70524,1002035,pumpkin pie spice,1.0,teaspoon
608753,8029,cereal,1.0,cup
608753,8121,oatmeal,0.5,cup
608753,16098,peanut butter,0.5,cup
608753,99076,vanilla protein powder,0.5,cup
610432,2010,cinnamon,0.5,teaspoon
610432,93833,egg beaters,0.5,cup
610432,8640,instant oatmeal,2.0,packets
610432,1011256,non-fat greek yogurt,0.6666666666666666,cup
604906,19165,cocoa powder,0.25,cup
604906,19296,honey,3.0,tablespoons
604906,1077,milk,2.0,tablespoons
604906,8121,oatmeal,0.25,cup
605773,12061,almonds,1.0,tablespoon
605773,10123,bacon,3.0,strips
605773,19911,maple syrup,2.0,tablespoon
605773,8121,oatmeal,1.0,cup
765471,93644,marshmallow cream,0.75,cup
765471,8121,oatmeal,9.0,
765471,1095,sweetened condensed milk,1.0,cup
765471,10019087,white chocolate chips,3.0,cups
49636,19912,agave syrup,2.0,servings
49636,9040,banana,1.0,
49636,19157,candy coated chocolate pieces,1.0,Tbsps
49636,8121,cooked rolled oats,1.0,cup
142868,9431,fruit,2.0,servings
142868,1049,half n half,2.0,cups
142868,19296,honey,2.0,servings
142868,8121,oatmeal,1.0,cup
160518,9040,banana,7.6,oz
160518,1085,fat-free milk,1.0,cup
160518,8640,instant oatmeal,1.0,packet
160518,12155,walnuts,0.25,cup
670998,2029,dried parsley,1.0,teaspoon
670998,10920420,orzo,2.6666666666666665,cups
76953,1022030,black peppercorns,2.0,tsps
76953,1038,pecorino romano,2.5,ozs
76953,11420420,spaghetti,0.5,lb
537376,19085,butterscotch,24.0,ounces
537376,93803,chow mein noodles,5.0,ounces
537376,12135,nuts,1.5,cup
598024,19070,butterscotch chips,12.0,ounce
598024,93803,chow mein noodles,5.0,ounce
598024,1123,eggs,12.0,servings
532783,18029,french bread,1.0,loaf
532783,1026,mozzarella cheese,1.0,oz
532783,11420420,spaghetti,4.0,servings
532783,,desired toppings,4.0,servings
475267,93803,chow mein noodles,2.0,cups
475267,10019071,dark chocolate chips,24.0,ounces
475267,12135,nuts,1.0,cup
592424,11282,onion,0.5,medium
592424,11120420,penne pasta,16.0,oz
592424,43016,slaw dressing,0.5,cup
592424,,recipe antipasto mix $6.88,3.5,cups
591703,10111549,marinara sauce,4.5,cups
591703,10110219,meatballs,24.0,
591703,11420420,spaghetti,14.0,oz
532320,11819,chili,5.0,cups
532320,11320420,rotini pasta,12.0,oz
532320,1011026,shredded cheese,0.5,cup
139508,93832,cheese ravioli,26.0,ounce
139508,93651,italian cheese blend,1.5,cups
139508,11549,tomato sauce,26.0,ounce
538633,11819,chile,6.0,servings
538633,20317,masa flour,1.5,
538633,20420,pasta,1.0,lb
538633,,cucharadas de aceite de oliva,4.0,
538633,,pimienta,6.0,servings
538633,,sal,6.0,servings
538633,,taza de aceitunas negras picadas,0.5,
538633,,taza de tomates secos picados,1.0,
799756,1017,cream cheese,6.0,Tbsp
799756,93726,dry tortellini,2.0,cups
799756,93698,pesto sauce,3.0,Tbsp
393974,16018,canned black beans,1.0,cup
393974,99036,pasta salad mix,4.4,ounces
393974,7916,smoked sausage,0.5,pound
77247,93753,lemon pie filling,2.0,cups
77247,11297,fresh parsley leaves,2.0,Tbsps
77247,10020124,whole-wheat spaghetti,8.0,ozs
1509201,20499,grain macaroni,1.0,cup
1509201,1077,milk,2.0,tbsp
1509201,1001009,cheddar,0.5,cup
269443,10120499,elbow macaroni,16.0,oz
269443,1077,milk,0.5,cup
269443,10211529,roma tomatoes,10.0,oz
269443,,velveetaâ,16.0,oz
138608,10093727,cheese tortellini,1.3333333333333333,cups
138608,1026,mozzarella cheese,2.0,ounces
138608,1032009,red pepper flakes,0.5,teaspoon
138667,6972,chili sauce,1.0,bottle
138667,10023572,ground beef,1.0,lb
138667,20420,pasta,2.0,servings
139388,13786,chuck roast,4.0,lb
139388,20410,cooked egg noodles,6.0,servings
139388,10011549,pasta sauce,2.0,jars
604875,10311529,cherry tomatoes,1.0,pint
604875,10120499,elbow macaroni,1.0,ounce
604875,1019,feta cheese,1.0,cup
1075071,10123,bacon,1.0,can
1075071,5006,chicken,1.0,serving
1075071,5006,chicken,1.0,Sheet
1075071,20444,rice,1.0,serving
559886,18064,bread,8.0,slices
559886,5006,chicken,4.0,servings
559886,93838,havarti cheese,4.0,
510869,5006,chicken,21.0,
510869,6970,low sodium chicken broth,8.0,cups
510869,11291,scallions,0.25,cup
574737,2063,fresh rosemary,3.0,sprigs
574737,5006,whole chicken,5.0,lbs
574737,14084,wine,12.0,oz
217239,5006,chicken,3.5,pound
217239,10114003,lager,1.0,can
217239,1012034,Spice Rub,2.0,tablespoons
570366,5006,chicken,4.0,
570366,6194,chicken broth,1.0,cup
570366,98878,frank's redhot sauce,1.0,cup
74358,11215,garlic cloves,1.0,cloves
74358,1002044,herbs,1.0,serving
74358,5006,whole chicken,1.0,small
611630,5006,chicken,1.0,cup
611630,1019,feta cheese,3.0,Tablespoons
611630,43016,slaw dressing,4.0,Tablespoons
248990,11265,portobello mushrooms,1.5,pounds
248990,2043,turmeric,2.0,teaspoons
248990,5006,whole chicken,1.0,
136586,2063,fresh rosemary,8.0,sprigs
136586,11215,garlic cloves,4.0,
136586,5109,roasting chickens,4.0,lb
521767,18064,bread,4.0,servings
521767,5006,chicken,2.0,c
521767,1009037,guacamole,2.0,c
1156204,1001,butter,2.0,tbsp
1156204,5006,chicken,1.0,
1156204,1012034,rub,2.0,tbsp
1020423,6150,bbq sauce,1.0,cup
1020423,5006,chicken,4.0,
1020423,93646,slider buns,4.0,large
394088,5006,chicken,2.0,cups
394088,11291,green onion tops,22.0,servings
394088,18069,white sandwich bread,16.0,ounces
386635,20040,brown rice,8.8,ounces
386635,5006,chicken,13.2,ounces
386635,12585,salted cashews,3.0,tablespoons
386635,,sweet-and-sour stir-fry mix,21.0,ounces
133849,5006,chicken,1.0,cup
133849,2033,poppy seeds,2.0,tablespoons
133849,93618,refrigerated crescent rolls,8.0,oz
265707,9150,lemon,1.0,
265707,5109,roasting chicken,4.0,lb
265707,4135,vinaigrette dressing,0.5,cup
544373,1041009,cheese,1.0,cup
544373,5006,chicken,1.0,cup
544373,18364,tortillas,4.0,
259284,11215,garlic clove,1.0,large
259284,1002046,Stone-Ground Mustard,0.25,cup
259284,5006,whole chicken,3.5,pound
259284,,or,1.5,tablespoons
170328,5006,chicken,3.0,pounds
170328,1022027,italian seasoning,1.0,teaspoon
170328,4114,salad dressing,0.25,cup
